Code,Name,Role,Theme,Target Weight,Current Weight,Direction Light,Feedback,Buy Filter,One-Vote Veto,Action,Notes,Asset Type,Manual Quality Score,Quality Evidence,Share/Chip Signal,Premium Signal,Leader Signal,Next-Day Signal,Thesis,Invalidation
000001.SH,上证综指,观察仓,宽基,,,,,,,,总量锚,Index,,,,,,,总量锚用于判断系统风险,指数破位且成交额萎缩则权益新增冻结
000300.SH,沪深300,观察仓,宽基,,,,,,,,总量锚,Index,,,,,,,总量锚用于观察大盘权重资产,连续弱势破位则降低市场权限
000510.CSI,中证A500,观察仓,宽基,,,,,,,,总量锚,Index,,,,,,,总量锚用于观察中盘宽基强弱,中证A500走弱且普跌则暂停权益新增
000688.SH,科创50,观察仓,半导体设备,,,,,,,,成长锚,Index,,,,,,,成长锚用于判断硬科技进攻权限,科创50破位或弱于宽基则成长新增冻结
399006.SZ,创业板指,观察仓,AI算力,,,,,,,,成长锚,Index,,,,,,,成长锚用于判断成长风格权限,创业板持续弱于沪深300则成长仓降级
159516,半导体设备ETF,核心成长层,半导体设备,0.08,0.0580,,,,,,第一核心候选; 机会成本第一优先; 连续上涨不追; 缩量回踩确认后分批,ETF,9.0,第一层AI基础设施瓶颈; 半导体设备与检测设备主线纯度高; 适用爆量突破/缩量回踩/量质吸确认; 利好后必须找反证,,,,,国产半导体设备受AI算力Capex与国产替代共振驱动,Capex下修或龙头放量破位或ETF连续净赎回或跌破爆量K低点
562500,机器人ETF,核心成长层,机器人,0.14,0.1335,,,,,,核心持有; 持有不加; 防盈利回吐恐惧; 等待止跌三部曲确认,ETF,8.5,AI增强长周期方向; 核心持有仓; 当前不因回调直接补仓; 等待缩量企稳和次日红K,,,,,机器人与工业自动化受AI增强和制造业升级驱动,放量滞涨或龙头分化或情绪温度达到4级以上或龙头成分未止跌
159381,创业板人工智能ETF,核心成长层,AI算力,0.04,0.0207,,,,,,AI硬件增强仓; 机会成本低于159516; 等光模块/CPO/AI芯片龙头缩量企稳,ETF,8.0,AI硬件增强仓; 不追研报催化高开; 防确认偏误; 需跟踪光模块PCB高速互联液冷电源与硬件链龙头,,,,,AI硬件链比泛AI应用更接近利润分配中心,硬件链龙头走弱或ETF份额退潮或估值透支或跌破5/10日趋势
516630,云计算ETF,战术仓,AI算力,0.03,0.0606,,,,,,泛AI过渡仓; 机会成本低于159516/159381; 不主动加仓; 反弹后降级,ETF,6.0,泛AI过渡仓; 不能因名字带AI就当核心AI; 新增AI资金优先给AI硬件ETF,,,,,云计算属于泛AI过渡工具但纯度和利润兑现需复核,反弹后不能转强或AI应用利润路径不清
588700,科创生物医药ETF,观察仓,创新药,0.03,,,,,,,创新药价格提醒; 不自动挂单,ETF,7.0,创新药核心观察; 需四证据模型和价格提醒后二次确认,,,,,创新药可能受AI效率增强但必须看临床BD商业化硬数据,四证据模型低于70或临床BD商业化出现负面变化
